"id","breed","breed_print","breed_image","reference"
"211","village_dog","Village Dog",,"0"
"212","wolf","Wolf",,"0"
"213","coyote","Coyote",,"0"
"214"," ","Cirneco dell","Cirneci D'ell Etna_CC_shadow","0"
"215","new_guinea_singing_dog","New Guinea Singing Dog","NewGuineaSingingDog","0"
"216","english_shepherd","English Shepherd","english_shepherd","1"
"217","village_dog_china","Village Dog (China)",,"0"
"218","village_dog_nigeria","Village Dog (Nigeria)",,"0"
"219","village_dog_vietnam","Village Dog (Vietnam)",,"0"
"220","greenland_sled_dog","Greenland Sled Dog",,"0"
"221","alaskan_sled_dog","Alaskan Sled Dog",,"0"
"222","wolf_north_american","Wolf (North American)",,"0"
"223","wolf_eurasian","Wolf (Eurasian)",,"0"
